id,name,price,originalPrice,image,category,rating,reviews,description,features,ecoImpact,inStock
1,Organic Cotton Tote Bag,499,799,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=500,Bags,4.5,127,"Handcrafted from 100% organic cotton, this versatile tote bag is perfect for your daily shopping needs. Durable, washable, and sustainably produced with zero waste manufacturing.","100% organic cotton material|Reinforced handles for heavy loads|Machine washable and durable|Spacious 15L capacity|Fair trade certified production",Saves 5 plastic bags per use • Carbon neutral shipping,true
2,Bamboo Cutlery Set,349,,https://images.unsplash.com/photo-1610701596007-11502861dcfa?w=500,Kitchen,4.8,89,"Travel-friendly bamboo cutlery set with a sleek carrying case. Say goodbye to single-use plastic utensils with this eco-conscious alternative.","Premium bamboo construction|Includes fork, spoon, knife, and chopsticks|Compact carrying case included|Lightweight and portable|Naturally antimicrobial",Prevents 100+ plastic utensils from landfills annually,true
3,Reusable Water Bottle,599,899,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=500,Kitchen,4.7,234,"Insulated stainless steel water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and designed for an active lifestyle.","Double-wall vacuum insulation|750ml capacity|Leak-proof design|BPA-free materials|Wide mouth for easy cleaning",Replaces 500+ plastic bottles per year,true
4,Eco-Friendly Notebook,249,,https://images.unsplash.com/photo-1544816155-12df9643f363?w=500,Stationery,4.6,156,"Handmade notebook with recycled paper and a biodegradable cover. Perfect for journaling, sketching, or note-taking.","100% recycled paper|Biodegradable cover|120 pages|Acid-free and chlorine-free|Handcrafted binding",Made from post-consumer waste • Plants 1 tree per purchase,false
5,Solar Power Bank,1299,1599,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=500,Electronics,4.9,312,"20000mAh solar-powered portable charger with dual USB ports. Perfect for outdoor adventures and emergency backup power.","20000mAh high capacity|Dual USB charging ports|Solar panel for renewable charging|LED flashlight included|Waterproof and shockproof design",Clean energy charging • Reduces grid electricity consumption,true
6,Beeswax Food Wraps,399,549,https://images.unsplash.com/photo-1615485500634-c1358a39914d?w=500,Kitchen,4.4,98,"Reusable food storage wraps made from organic cotton and natural beeswax. Replace single-use plastic wrap for a sustainable kitchen.","Set of 5 assorted sizes|100% organic cotton and beeswax|Naturally antibacterial|Easy to clean and reuse|Lasts up to 1 year with proper care",Eliminates 500+ plastic wraps annually,true
7,Bamboo Toothbrush Set,199,,https://images.unsplash.com/photo-1607613009820-a29f7bb81c04?w=500,Personal Care,4.7,203,"Pack of 4 biodegradable bamboo toothbrushes with soft charcoal-infused bristles. Sustainable oral care for the whole family.","Pack of 4 bamboo toothbrushes|Charcoal-infused soft bristles|100% biodegradable handle|Ergonomic design|BPA-free nylon bristles",Prevents 4 plastic toothbrushes from landfills,true
8,Organic Hemp Backpack,1899,2499,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500,Bags,4.8,176,"Durable and stylish backpack made from organic hemp. Features multiple compartments and padded laptop sleeve for modern life.","100% organic hemp material|Padded 15-inch laptop compartment|Water-resistant coating|Multiple storage pockets|Adjustable padded straps",Carbon-negative production • Saves 10 plastic bags per use,true
9,Stainless Steel Lunch Box,799,999,https://images.unsplash.com/photo-1593113598332-cd288d649433?w=500,Kitchen,4.6,145,"3-tier stainless steel lunch box with secure locking system. Perfect for meal prep and zero-waste lunches.","Food-grade stainless steel|3 stackable compartments|Leak-proof silicone seal|Microwave safe (without lid)|Dishwasher friendly",Replaces 250+ disposable containers per year,true
10,Natural Loofah Sponge,149,,https://images.unsplash.com/photo-1620118578094-f4b8fef7c861?w=500,Personal Care,4.3,87,"100% natural loofah sponge for gentle exfoliation. Biodegradable and sustainably harvested.","100% natural plant-based loofah|Gentle exfoliation|Biodegradable and compostable|Naturally antimicrobial|Lasts 3-4 months",Fully biodegradable • Zero plastic waste,true
11,Recycled Glass Water Pitcher,699,899,https://images.unsplash.com/photo-1587541336611-0dc2e63efb3e?w=500,Kitchen,4.5,92,"Beautiful water pitcher made from 100% recycled glass with bamboo lid. Holds 1.5L of refreshing beverages.","100% recycled glass construction|Bamboo lid with filter slot|1.5L capacity|Dishwasher safe|Modern minimalist design",Made from recycled materials • Reduces plastic bottle use,true
12,Organic Cotton Bed Sheets,2499,3299,https://images.unsplash.com/photo-1631049307264-da0ec9d70304?w=500,Home,4.9,267,"Luxuriously soft queen-size bed sheet set made from 100% GOTS certified organic cotton. Better sleep for you and the planet.","100% GOTS certified organic cotton|Queen size fitted and flat sheet|2 pillowcases included|300 thread count|Machine washable",Pesticide-free farming • Fair trade certified,true
13,Compostable Phone Case,549,,https://images.unsplash.com/photo-1601784551446-20c9e07cdbdb?w=500,Electronics,4.4,134,"Fully compostable phone case made from plant-based materials. Protects your phone and the environment.","100% compostable materials|Drop protection up to 6 feet|Fits iPhone and Samsung models|Slim lightweight design|Non-toxic plant-based plastic",Biodegrades in 6 months • Zero plastic waste,true
14,Reusable Produce Bags,299,,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=500,Bags,4.6,178,"Set of 6 mesh produce bags in various sizes. Perfect for grocery shopping and farmers markets.","Set of 6 bags (2 small, 2 medium, 2 large)|Breathable mesh design|Lightweight and portable|Drawstring closure|Machine washable",Saves 300+ plastic bags annually,true
15,Coconut Bowl Set,449,599,https://images.unsplash.com/photo-1584990347498-7432745c8f82?w=500,Kitchen,4.7,121,"Set of 2 handcrafted coconut bowls with wooden spoons. Upcycled from discarded coconut shells.","Set of 2 coconut bowls|2 wooden spoons included|Handcrafted from upcycled shells|Food-safe natural finish|Each bowl is unique",Upcycled waste material • Supports fair trade artisans,true
16,Organic Wool Socks,399,499,https://images.unsplash.com/photo-1586350977771-b3b0abd50c82?w=500,Clothing,4.5,95,"Pack of 3 pairs of cozy organic merino wool socks. Naturally temperature regulating and odor resistant.","Pack of 3 pairs|100% organic merino wool|Temperature regulating|Naturally antimicrobial|Reinforced heel and toe",Sustainable sheep farming • Biodegradable material,true
17,Bamboo Kitchen Utensil Set,699,,https://images.unsplash.com/photo-1556909212-d5b604d0c90d?w=500,Kitchen,4.8,201,"7-piece bamboo cooking utensil set with holder. Durable, heat-resistant, and gentle on cookware.","7-piece set with bamboo holder|Heat resistant up to 200°C|Gentle on non-stick surfaces|Naturally antibacterial|Handcrafted from sustainable bamboo",Renewable resource • Plastic-free kitchen,true
18,Natural Soy Candles,599,749,https://images.unsplash.com/photo-1602874801006-c2a6d1f69e5e?w=500,Home,4.6,143,"Set of 3 hand-poured soy candles with essential oils. Clean burning and long-lasting ambiance.","Set of 3 candles|100% natural soy wax|Essential oil fragrances|40+ hour burn time each|Cotton wicks",Clean burning • Biodegradable wax • Reusable containers,true
19,Cork Yoga Mat,2299,2799,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=500,Fitness,4.9,189,"Premium yoga mat with natural cork surface and natural rubber base. Non-slip, antimicrobial, and eco-friendly.","Natural cork top surface|Natural rubber base|Non-slip texture|Antimicrobial properties|183cm x 61cm x 4mm",Sustainable materials • Biodegradable • Renewable resources,true
20,Glass Straw Set,299,399,https://images.unsplash.com/photo-1595439735347-2464e095b3c1?w=500,Kitchen,4.4,167,"Set of 6 reusable glass straws with cleaning brushes. Eco-friendly alternative to plastic straws.","Set of 6 glass straws|2 cleaning brushes included|Dishwasher safe|Heat resistant|Carrying pouch included",Prevents 500+ plastic straws from ocean waste,true
21,Recycled Denim Shoulder Bag,899,1199,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=500,Bags,4.7,142,"Stylish shoulder bag made from upcycled denim. Each piece is unique with vintage character.","100% upcycled denim|Adjustable strap|Multiple pockets|Reinforced stitching|Each bag is unique",Saves textile waste • Supports circular fashion,true
22,Organic Herbal Soap Set,349,,https://images.unsplash.com/photo-1600857062241-98e5dba7f214?w=500,Personal Care,4.6,198,"Set of 4 handmade soaps with organic herbs and essential oils. Gentle on skin and planet.","Pack of 4 soaps|Organic herbs and oils|Palm oil free|Cold-pressed process|Cruelty-free and vegan",Biodegradable • Zero plastic packaging,true
23,Wireless Eco Earbuds,2499,2999,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=500,Electronics,4.5,223,"Bluetooth earbuds with biodegradable case. Great sound quality meets sustainability.","Biodegradable charging case|8-hour battery life|Noise cancellation|USB-C charging|IPX4 water resistant",Plastic-free packaging • Carbon offset shipping,true
24,Jute Shopping Basket,699,,https://images.unsplash.com/photo-1591217246890-7819f6e25814?w=500,Bags,4.4,87,"Handwoven jute basket with leather handles. Perfect for grocery shopping and storage.","100% natural jute|Leather handles|Large capacity|Handwoven by artisans|Collapsible design",Biodegradable material • Fair trade certified,true
25,Organic Tea Sampler,499,699,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500,Food & Beverages,4.8,154,"Assorted organic tea sampler with 5 unique blends. Sustainably sourced and packaged in compostable materials.","5 unique organic tea blends|Compostable packaging|Fair trade certified|No artificial flavors|Rich in antioxidants",Supports sustainable farming • Reduces plastic waste,true
26,Recycled Paper Gift Wrap,199,,https://images.unsplash.com/photo-1519681393784-d120267933ba?w=500,Stationery,4.3,76,"Set of 10 sheets of recycled paper gift wrap with eco-friendly inks. Perfect for sustainable gifting.","Set of 10 sheets|100% recycled paper|Eco-friendly soy-based inks|Variety of designs|Biodegradable",Reduces deforestation • Minimizes landfill waste,true
27,Organic Linen Apron,799,999,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=500,Clothing,4.6,112,"Durable and breathable apron made from 100% organic linen. Ideal for cooking and crafting.","100% organic linen material|Adjustable neck strap|Large front pocket|Machine washable|Durable and long-lasting",Sustainable farming • Biodegradable,true
28,Reusable Coffee Cup,399,549,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500,Kitchen,4.5,198,"Eco-friendly reusable coffee cup made from bamboo fiber and silicone. Perfect for on-the-go beverages.","Bamboo fiber construction|Silicone lid and sleeve|350ml capacity|Dishwasher safe|Lightweight and portable",Reduces single-use cup waste • Biodegradable materials,true
29,Organic Baby Clothes Set,1299,1599,https://images.unsplash.com/photo-1520975698511-6f5f3c8e3f3b?w=500,Clothing,4.9,134,"Set of 3 organic cotton baby outfits. Soft, breathable, and free from harmful chemicals.","Set of 3 outfits|100% organic cotton|Hypoallergenic|Durable stitching|Machine washable",Supports organic farming • Safe for sensitive skin,true
30,Recycled Plastic Outdoor Chair,3499,4299,https://images.unsplash.com/photo-1598300051953-4c4f5f3e6f4b?w=500,Furniture,4.7,98,"Durable outdoor chair made from 100% recycled plastic. Weather-resistant and easy to clean.","100% recycled plastic construction|Weather-resistant design|Ergonomic seating|Stackable for easy storage|Low maintenance",Diverts plastic waste from landfills • Durable and long-lasting,true
31,Organic Spice Set,599,799,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500,Food & Beverages,4.8,145,"Set of 6 organic spices in glass jars with bamboo lids. Sustainably sourced and perfect for cooking.","6 organic spices|Glass jars with bamboo lids|No artificial additives|Fair trade certified|Rich flavors",Supports sustainable agriculture • Reduces plastic packaging,true
32,Biodegradable Trash Bags,399,499,https://images.unsplash.com/photo-1598300051953-4c4f5f3e6f4b?w=500,Home,4.4,76,"Roll of 30 biodegradable trash bags made from plant-based materials. Strong and eco-friendly alternative to plastic bags.","30 bags per roll|Made from plant-based materials|Compostable and biodegradable|Strong and durable|Fits standard trash cans",Reduces plastic waste • Compostable,true
33,Organic Cotton Face Masks,299,,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=500,Personal Care,4.5,210,"Pack of 5 reusable face masks made from 100% organic cotton. Comfortable and breathable for everyday use.","Pack of 5 masks|100% organic cotton|Adjustable ear loops|Machine washable|Breathable fabric",Reduces single-use mask waste • Sustainable materials,true
